               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.044405,            0.058485,            0.048496,              0.6964,             0.59836,             0.68922,             0.45439,            0.041285,            0.037634,            0.010265,              0.0937,              0.0007,              0.0007
                   1,            0.044279,            0.062629,            0.046054,             0.73904,             0.63901,             0.72934,             0.48026,            0.040451,            0.036379,           0.0083833,            0.086495,            0.001495,            0.001495
                   2,            0.043162,             0.06562,            0.047767,             0.76171,             0.65987,             0.75845,             0.50638,            0.039858,            0.035684,           0.0071311,            0.079285,           0.0022848,           0.0022848
                   3,            0.045346,            0.061386,            0.045336,             0.77493,             0.68428,             0.78233,             0.52113,            0.039553,            0.035411,           0.0063016,            0.072069,           0.0030693,           0.0030693
                   4,            0.043458,            0.064545,            0.043423,             0.75284,              0.7313,             0.78527,             0.52238,            0.039774,            0.035195,           0.0056199,            0.064849,           0.0038485,           0.0038485
                   5,            0.044368,            0.065483,            0.043013,             0.71923,             0.73731,              0.7845,             0.51321,             0.03992,            0.035038,           0.0054957,            0.057622,           0.0046225,           0.0046225
                   6,             0.04507,            0.059057,            0.038884,             0.77601,             0.71081,              0.7948,             0.49511,            0.042626,            0.033909,           0.0046477,            0.050391,           0.0053911,           0.0053911
                   7,            0.048211,            0.057683,             0.03226,             0.79458,             0.68874,             0.78338,             0.49435,            0.042306,            0.033809,           0.0047597,            0.043154,           0.0061545,           0.0061545
                   8,            0.047115,            0.059274,            0.032874,             0.66721,             0.77083,             0.76646,             0.44289,             0.04747,            0.032596,           0.0044135,            0.035913,           0.0069126,           0.0069126
                   9,            0.047427,            0.057601,            0.034806,             0.75865,             0.70799,             0.78079,             0.47264,            0.044079,            0.033234,           0.0046557,            0.028665,           0.0076654,           0.0076654
                  10,            0.046717,            0.051159,            0.026155,             0.73833,              0.6807,             0.76138,             0.45707,            0.050624,            0.031959,           0.0047554,            0.021413,           0.0084129,           0.0084129
                  11,            0.050205,            0.055438,            0.030891,             0.69163,             0.73382,             0.76863,             0.45318,            0.051516,            0.030867,           0.0048968,            0.014155,           0.0091552,           0.0091552
                  12,            0.049138,            0.054749,            0.032219,             0.76031,             0.67715,             0.77533,             0.43874,            0.048367,            0.032128,           0.0041854,            0.009604,            0.009604,            0.009604
                  13,            0.048539,            0.055409,            0.027894,             0.76291,             0.70406,             0.77648,             0.45788,            0.049457,            0.031378,            0.003484,            0.009604,            0.009604,            0.009604
                  14,            0.047571,            0.054959,            0.029805,             0.78008,             0.67251,              0.7473,             0.46144,            0.044918,            0.035272,           0.0057846,            0.009571,            0.009571,            0.009571
                  15,            0.046235,            0.056352,            0.028584,             0.76144,             0.77446,             0.82314,             0.50847,            0.044159,            0.031436,           0.0032585,            0.009538,            0.009538,            0.009538
                  16,            0.047682,            0.054725,            0.028459,             0.77656,             0.72307,             0.79993,             0.46723,            0.047749,              0.0313,           0.0035363,            0.009505,            0.009505,            0.009505
                  17,            0.048409,            0.056967,            0.029299,             0.76082,             0.77603,             0.83398,             0.52379,            0.042861,            0.030285,           0.0031478,            0.009472,            0.009472,            0.009472
                  18,            0.048853,            0.060797,             0.02801,             0.77945,             0.77582,             0.83846,             0.52462,            0.043141,            0.029945,           0.0034102,            0.009439,            0.009439,            0.009439
                  19,            0.046381,            0.056728,            0.025364,             0.77959,             0.80261,             0.85052,             0.52109,            0.042344,            0.029425,           0.0034403,            0.009406,            0.009406,            0.009406
                  20,            0.046157,            0.055861,            0.029496,             0.74077,             0.70912,             0.78315,             0.44434,            0.046214,              0.0339,           0.0050331,            0.009373,            0.009373,            0.009373
                  21,            0.047213,            0.057805,            0.027059,             0.77019,             0.74102,             0.82496,             0.50845,             0.04431,            0.030387,           0.0035521,             0.00934,             0.00934,             0.00934
                  22,            0.044978,            0.049651,             0.02644,             0.75585,             0.77512,             0.82741,             0.50951,            0.044198,            0.029838,           0.0033295,            0.009307,            0.009307,            0.009307
                  23,            0.045568,             0.05223,            0.023324,             0.80348,             0.75302,             0.84714,              0.5308,            0.045006,            0.029325,           0.0031605,            0.009274,            0.009274,            0.009274
                  24,            0.045716,            0.048678,            0.020617,             0.74269,             0.78915,             0.83592,             0.51681,            0.044656,            0.028741,           0.0029795,            0.009241,            0.009241,            0.009241
                  25,            0.046329,            0.050666,            0.025709,             0.77449,             0.79624,             0.84552,             0.50897,            0.044565,            0.029235,           0.0029846,            0.009208,            0.009208,            0.009208
                  26,            0.045584,            0.049938,            0.020716,             0.77835,             0.76603,             0.83225,             0.51054,            0.046759,            0.029222,           0.0029965,            0.009175,            0.009175,            0.009175
                  27,            0.046969,            0.051996,            0.025607,             0.80764,             0.77056,             0.85681,             0.50764,            0.043357,            0.028912,           0.0027897,            0.009142,            0.009142,            0.009142
                  28,            0.046451,            0.046307,            0.026833,             0.83119,             0.77906,             0.87072,             0.53625,            0.042707,              0.0285,           0.0027034,            0.009109,            0.009109,            0.009109
                  29,            0.045793,              0.0497,            0.023042,              0.8191,             0.77713,             0.84713,             0.48883,             0.04393,            0.028109,           0.0026529,            0.009076,            0.009076,            0.009076
                  30,            0.046373,            0.049026,            0.024099,             0.81837,             0.78193,             0.86364,               0.526,            0.040242,            0.027451,           0.0025334,            0.009043,            0.009043,            0.009043
                  31,            0.043849,            0.047772,            0.022917,             0.79484,             0.81579,              0.8752,             0.55408,             0.03909,            0.027431,           0.0026625,             0.00901,             0.00901,             0.00901
                  32,               0.044,            0.047256,            0.020389,             0.78113,             0.76545,             0.84964,             0.52201,            0.042946,             0.02724,            0.002571,            0.008977,            0.008977,            0.008977
                  33,             0.04487,            0.047636,            0.020378,             0.80736,              0.8165,             0.87659,             0.54187,            0.040883,            0.027401,           0.0025609,            0.008944,            0.008944,            0.008944
                  34,            0.043809,             0.04928,            0.024336,             0.72345,             0.83586,             0.84758,             0.51716,            0.045208,              0.0271,           0.0024877,            0.008911,            0.008911,            0.008911
                  35,            0.045886,            0.051699,            0.021169,             0.79001,             0.81671,             0.85515,             0.53048,            0.043741,            0.027128,           0.0023813,            0.008878,            0.008878,            0.008878
                  36,            0.043828,                0.05,            0.022459,             0.79252,             0.81943,             0.86815,             0.58648,            0.038519,            0.026711,           0.0024551,            0.008845,            0.008845,            0.008845
                  37,            0.041951,            0.047717,            0.021091,              0.8126,             0.81976,               0.867,             0.58729,             0.03957,            0.026604,           0.0026525,            0.008812,            0.008812,            0.008812
                  38,            0.043814,            0.040812,            0.019691,             0.79871,             0.80709,             0.86525,             0.52657,            0.042431,            0.026896,           0.0026019,            0.008779,            0.008779,            0.008779
                  39,            0.045054,            0.049989,             0.02229,             0.83273,             0.78222,             0.87176,             0.53201,            0.040478,            0.026478,           0.0024971,            0.008746,            0.008746,            0.008746
                  40,            0.043927,             0.04792,            0.022312,             0.82727,             0.83111,             0.88761,             0.55888,            0.040288,            0.026171,           0.0025661,            0.008713,            0.008713,            0.008713
                  41,            0.046148,            0.047463,            0.020007,             0.82483,              0.8356,             0.89693,             0.55048,            0.041458,            0.026353,           0.0025035,             0.00868,             0.00868,             0.00868
                  42,            0.043676,            0.043534,            0.018674,             0.80176,             0.81606,             0.86121,              0.5222,            0.043148,            0.026402,           0.0024694,            0.008647,            0.008647,            0.008647
                  43,            0.044956,            0.047881,            0.019131,             0.80564,             0.81422,             0.87518,             0.52933,            0.042748,            0.026226,           0.0024227,            0.008614,            0.008614,            0.008614
