               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08846,            0.054726,            0.063532,             0.51297,              0.4324,             0.41781,             0.14838,            0.074476,            0.047273,           0.0038595,            0.070161,           0.0033154,           0.0033154
                   1,            0.083197,            0.042613,           0.0088798,             0.35447,             0.43925,             0.33647,             0.11261,            0.079939,            0.042997,           0.0030958,            0.040095,           0.0065829,           0.0065829
                   2,            0.080563,            0.040122,           0.0082389,             0.33937,             0.45897,              0.3207,             0.12214,            0.070672,            0.043967,           0.0027944,           0.0099636,           0.0097844,           0.0097844
                   3,            0.069273,            0.040979,           0.0074316,             0.49224,             0.49796,             0.47562,             0.21167,            0.060825,            0.043875,            0.002559,            0.009703,            0.009703,            0.009703
                   4,            0.062009,            0.040747,           0.0062897,             0.71019,             0.51018,             0.58449,             0.27697,            0.053183,            0.042876,           0.0019558,            0.009703,            0.009703,            0.009703
                   5,            0.058696,            0.039967,           0.0054884,             0.77943,             0.55346,             0.64705,             0.32779,            0.051325,              0.0431,           0.0017511,            0.009604,            0.009604,            0.009604
                   6,            0.056741,            0.040424,           0.0050893,             0.80656,             0.56641,             0.66823,             0.33905,            0.049882,            0.042777,           0.0015802,            0.009505,            0.009505,            0.009505
                   7,            0.054527,            0.039477,           0.0047184,             0.81292,             0.57167,             0.67231,             0.35738,            0.049893,            0.042201,           0.0014567,            0.009406,            0.009406,            0.009406
                   8,            0.052932,            0.039697,           0.0043636,             0.79407,              0.5856,             0.67888,             0.38721,            0.046618,            0.042059,           0.0013481,            0.009307,            0.009307,            0.009307
                   9,            0.051672,            0.039481,           0.0041083,             0.80303,             0.58517,              0.6781,              0.3956,             0.04642,            0.042149,           0.0011865,            0.009208,            0.009208,            0.009208
                  10,            0.050623,            0.038792,           0.0038037,             0.80856,             0.60906,             0.69504,             0.39719,            0.045934,            0.041898,           0.0011969,            0.009109,            0.009109,            0.009109
                  11,             0.05029,            0.038236,           0.0036318,             0.82076,              0.6036,             0.70012,             0.38703,             0.04626,            0.041835,           0.0011702,             0.00901,             0.00901,             0.00901
                  12,            0.049517,            0.039142,           0.0035415,              0.7931,             0.62752,             0.71811,             0.41083,            0.044781,            0.041598,           0.0011088,            0.008911,            0.008911,            0.008911
                  13,            0.049187,            0.037887,           0.0033537,             0.80359,             0.61892,             0.71126,             0.41653,             0.04356,            0.041749,           0.0010834,            0.008812,            0.008812,            0.008812
                  14,            0.048316,            0.037788,           0.0031913,             0.80149,              0.6186,             0.70609,             0.41557,            0.043817,            0.041496,           0.0010328,            0.008713,            0.008713,            0.008713
                  15,            0.047741,            0.038355,             0.00313,             0.81708,             0.60917,             0.70423,             0.41291,            0.043848,            0.041258,          0.00099454,            0.008614,            0.008614,            0.008614
                  16,            0.047261,            0.037548,           0.0029906,             0.81073,             0.61967,             0.71108,             0.42203,            0.042829,              0.0411,          0.00099669,            0.008515,            0.008515,            0.008515
                  17,            0.046753,            0.036851,           0.0028648,             0.78942,             0.62655,             0.70813,             0.42954,            0.041874,            0.041436,          0.00098265,            0.008416,            0.008416,            0.008416
                  18,            0.046435,            0.038159,           0.0028061,              0.8156,             0.61698,             0.71696,             0.43067,            0.042201,            0.040968,          0.00095142,            0.008317,            0.008317,            0.008317
                  19,            0.045928,            0.037479,           0.0027432,             0.82059,             0.61517,             0.71633,             0.44081,             0.04149,            0.040656,          0.00089139,            0.008218,            0.008218,            0.008218
                  20,            0.045623,            0.037593,           0.0025763,             0.80623,             0.62931,             0.72512,             0.43572,            0.042104,            0.040907,          0.00084898,            0.008119,            0.008119,            0.008119
                  21,            0.045698,            0.036594,           0.0025299,             0.82382,             0.63017,              0.7274,             0.44497,            0.041632,            0.041081,          0.00091628,             0.00802,             0.00802,             0.00802
                  22,            0.044716,            0.036629,           0.0024043,             0.82003,             0.63467,             0.72326,             0.44619,            0.040731,            0.040975,          0.00086081,            0.007921,            0.007921,            0.007921
                  23,            0.044413,            0.037015,           0.0023845,             0.81799,              0.6317,             0.72419,             0.44632,            0.041057,            0.040345,          0.00084581,            0.007822,            0.007822,            0.007822
                  24,            0.044233,            0.036472,           0.0022883,             0.81266,              0.6261,             0.71547,             0.44696,            0.040645,            0.040927,          0.00080842,            0.007723,            0.007723,            0.007723
                  25,            0.044162,            0.036395,           0.0022695,             0.81287,             0.63571,             0.72071,             0.45058,            0.040722,            0.040813,          0.00077333,            0.007624,            0.007624,            0.007624
                  26,            0.043753,            0.036372,           0.0021687,             0.82104,              0.6291,             0.71608,             0.44688,            0.040642,            0.040547,          0.00076938,            0.007525,            0.007525,            0.007525
                  27,            0.043601,            0.035824,           0.0021477,             0.83025,              0.6321,             0.72698,             0.45152,            0.040523,            0.040442,          0.00078623,            0.007426,            0.007426,            0.007426
                  28,            0.042835,            0.035812,            0.002066,             0.82529,             0.63866,             0.72733,             0.45357,            0.040533,            0.040685,          0.00072733,            0.007327,            0.007327,            0.007327
                  29,            0.042858,            0.036295,           0.0020014,             0.81942,             0.63491,             0.72509,             0.45361,            0.040272,            0.040501,          0.00067491,            0.007228,            0.007228,            0.007228
                  30,            0.042305,            0.035603,           0.0019463,             0.81612,             0.62481,             0.71963,             0.45351,            0.040275,            0.040748,           0.0007262,            0.007129,            0.007129,            0.007129
                  31,            0.042303,            0.035718,           0.0019462,              0.8223,             0.63424,             0.72504,             0.45806,            0.039802,            0.040127,          0.00068665,             0.00703,             0.00703,             0.00703
                  32,            0.042506,            0.036171,           0.0019024,              0.8325,             0.62726,             0.72768,             0.45779,                0.04,            0.040312,          0.00068057,            0.006931,            0.006931,            0.006931
                  33,            0.042332,            0.035491,           0.0018673,             0.82062,              0.6303,              0.7265,             0.45581,            0.039764,            0.040582,          0.00060026,            0.006832,            0.006832,            0.006832
                  34,            0.042042,            0.035196,           0.0018073,             0.81393,             0.64753,             0.72812,             0.45977,            0.039997,            0.040488,          0.00062159,            0.006733,            0.006733,            0.006733
                  35,            0.041772,            0.035264,           0.0017818,             0.81932,             0.64131,             0.73104,             0.46339,            0.039426,            0.040184,          0.00057116,            0.006634,            0.006634,            0.006634
