               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12221,            0.070924,             0.37686,              0.2668,             0.14699,            0.089773,             0.02697,             0.10748,            0.088538,             0.03286,            0.070161,           0.0033154,           0.0033154
                   1,             0.10568,            0.077763,             0.22739,             0.22494,             0.19198,             0.14709,            0.048937,             0.10022,            0.094372,            0.028504,            0.040095,           0.0065829,           0.0065829
                   2,             0.10438,            0.078045,             0.21075,             0.20316,             0.18866,             0.12223,            0.039359,             0.10435,            0.092095,            0.026757,           0.0099636,           0.0097844,           0.0097844
                   3,             0.10165,            0.079346,             0.19765,             0.26726,             0.20954,             0.16815,            0.055421,            0.098746,            0.097158,            0.027965,            0.009703,            0.009703,            0.009703
                   4,            0.098092,            0.080583,              0.1916,             0.29213,              0.2286,             0.17811,            0.061746,             0.09659,            0.097243,            0.025492,            0.009703,            0.009703,            0.009703
                   5,            0.096552,            0.082121,              0.1887,             0.33395,             0.22349,             0.20986,             0.08093,            0.093936,            0.098407,            0.025006,            0.009604,            0.009604,            0.009604
                   6,            0.094783,            0.082187,             0.18131,             0.33344,             0.24501,             0.21306,            0.083017,            0.093135,            0.099139,            0.025093,            0.009505,            0.009505,            0.009505
                   7,            0.093678,            0.082212,             0.17616,             0.38574,             0.24172,             0.23254,            0.090047,            0.093086,            0.098636,            0.025012,            0.009406,            0.009406,            0.009406
                   8,            0.092624,            0.081959,             0.17315,             0.36453,             0.26466,             0.24192,              0.0981,            0.090214,             0.10189,            0.024373,            0.009307,            0.009307,            0.009307
                   9,            0.092008,             0.08258,             0.16958,             0.38039,             0.25861,             0.23483,             0.09025,            0.091755,            0.098992,            0.024369,            0.009208,            0.009208,            0.009208
                  10,            0.091352,            0.083216,             0.17316,             0.40841,             0.26999,             0.25956,             0.10523,            0.089655,             0.10014,            0.024039,            0.009109,            0.009109,            0.009109
                  11,            0.090594,             0.08311,             0.16897,             0.42948,             0.26046,             0.25826,             0.10509,            0.089173,             0.10085,             0.02407,             0.00901,             0.00901,             0.00901
                  12,            0.090189,            0.083947,             0.17029,             0.44003,             0.26677,             0.26548,             0.11072,            0.088944,             0.10083,            0.024011,            0.008911,            0.008911,            0.008911
                  13,            0.089874,            0.083738,             0.16491,             0.38405,             0.28213,              0.2715,             0.11127,            0.087957,             0.10078,            0.023867,            0.008812,            0.008812,            0.008812
                  14,            0.088997,            0.083093,             0.16067,              0.4058,             0.28433,             0.27586,             0.11701,            0.087823,             0.10161,            0.023708,            0.008713,            0.008713,            0.008713
                  15,            0.088739,            0.084448,             0.16184,             0.40584,             0.29846,             0.27965,             0.11802,            0.087204,             0.10173,            0.023781,            0.008614,            0.008614,            0.008614
                  16,            0.088063,            0.083639,             0.15702,             0.42641,             0.28063,             0.28456,             0.12064,            0.086792,             0.10107,            0.024113,            0.008515,            0.008515,            0.008515
                  17,             0.08787,            0.083224,             0.15325,             0.44028,             0.27897,             0.28264,              0.1179,            0.086994,             0.10129,            0.024145,            0.008416,            0.008416,            0.008416
                  18,             0.08755,            0.085274,             0.15976,             0.43496,             0.30178,             0.28896,             0.12072,             0.08625,             0.10132,            0.023541,            0.008317,            0.008317,            0.008317
                  19,            0.087389,            0.084118,             0.15588,              0.4351,             0.28902,             0.28544,             0.12014,            0.086641,             0.10094,            0.024247,            0.008218,            0.008218,            0.008218
                  20,            0.087463,            0.083313,             0.15204,             0.42851,             0.29217,             0.29068,             0.12406,            0.086275,             0.10191,            0.024404,            0.008119,            0.008119,            0.008119
                  21,             0.08676,            0.083512,             0.14739,             0.43004,              0.2985,             0.29308,             0.12551,            0.085763,             0.10166,            0.024336,             0.00802,             0.00802,             0.00802
                  22,            0.086671,            0.083773,              0.1501,             0.44399,               0.298,             0.29084,             0.12618,            0.086232,             0.10151,             0.02428,            0.007921,            0.007921,            0.007921
                  23,            0.086361,            0.085034,             0.14818,             0.43547,              0.3003,             0.29253,             0.12695,            0.085527,             0.10175,            0.024375,            0.007822,            0.007822,            0.007822
                  24,             0.08574,            0.083155,             0.14379,             0.44511,             0.29259,              0.2905,             0.12395,            0.085734,             0.10162,            0.023791,            0.007723,            0.007723,            0.007723
                  25,            0.085758,            0.082945,             0.14075,             0.48179,             0.29412,             0.29899,             0.13015,            0.085271,             0.10263,            0.024036,            0.007624,            0.007624,            0.007624
                  26,            0.085469,             0.08272,             0.13895,             0.43922,              0.2981,             0.29643,             0.12868,            0.085595,             0.10216,            0.024301,            0.007525,            0.007525,            0.007525
