               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1152,             0.15007,              1.1807,             0.54157,             0.09367,             0.09567,            0.044603,              0.1053,             0.18159,            0.042183,            0.070162,           0.0033153,           0.0033153
                   1,            0.099687,             0.16613,             0.88086,             0.34346,             0.14634,             0.13794,            0.066441,             0.09731,             0.19567,            0.038173,            0.040096,           0.0065828,           0.0065828
                   2,             0.09763,             0.17172,             0.84357,             0.32991,             0.17493,             0.15524,            0.069719,             0.09586,             0.20127,            0.036747,           0.0099645,           0.0097843,           0.0097843
                   3,            0.095483,             0.17423,             0.80372,             0.35808,              0.1934,              0.1607,            0.064661,            0.095487,             0.20472,              0.0355,            0.009703,            0.009703,            0.009703
                   4,             0.09344,             0.17552,             0.77403,             0.30818,             0.20357,             0.19256,            0.092361,            0.091926,             0.20791,            0.035385,            0.009703,            0.009703,            0.009703
                   5,            0.092087,             0.17662,             0.77109,             0.34356,             0.20771,             0.19183,            0.092643,            0.090609,             0.20752,            0.034583,            0.009604,            0.009604,            0.009604
                   6,            0.091052,             0.17786,             0.75872,             0.28306,             0.21927,             0.20105,            0.083756,            0.091626,             0.20937,             0.03478,            0.009505,            0.009505,            0.009505
                   7,            0.090214,             0.17733,             0.74652,             0.38783,             0.22337,             0.21915,             0.10564,            0.089545,             0.20874,             0.03378,            0.009406,            0.009406,            0.009406
                   8,            0.089349,             0.17744,             0.73356,             0.43266,             0.22281,             0.22442,             0.10822,            0.088637,             0.20986,            0.034044,            0.009307,            0.009307,            0.009307
                   9,            0.088971,             0.17705,             0.72619,             0.40713,             0.23097,             0.22105,             0.10676,            0.089381,             0.20936,            0.033669,            0.009208,            0.009208,            0.009208
                  10,            0.088386,             0.17864,             0.72462,             0.44429,             0.23736,             0.22783,             0.11074,            0.088523,             0.20993,             0.03325,            0.009109,            0.009109,            0.009109
                  11,            0.087979,             0.17733,             0.71373,              0.3839,             0.23722,             0.22892,             0.11358,             0.08771,             0.21141,            0.033209,             0.00901,             0.00901,             0.00901
                  12,            0.087498,             0.17928,             0.72233,             0.45065,             0.23341,             0.23112,             0.11238,            0.088171,             0.20952,             0.03354,            0.008911,            0.008911,            0.008911
                  13,            0.087288,             0.17717,             0.70229,              0.4306,              0.2364,             0.23817,             0.11452,            0.087791,             0.21101,            0.033251,            0.008812,            0.008812,            0.008812
                  14,            0.086671,             0.17915,             0.70375,             0.47045,             0.23216,             0.23945,              0.1161,            0.087033,             0.21058,             0.03331,            0.008713,            0.008713,            0.008713
                  15,            0.086762,             0.18111,             0.71387,              0.5159,             0.24401,             0.24092,             0.11854,            0.086691,             0.21168,            0.033061,            0.008614,            0.008614,            0.008614
                  16,            0.086485,             0.17921,             0.70055,             0.43217,             0.23674,             0.23979,             0.11801,            0.086529,             0.21171,             0.03307,            0.008515,            0.008515,            0.008515
                  17,            0.085819,             0.17794,             0.68757,             0.48572,             0.24536,             0.24711,             0.12276,            0.086365,             0.21078,            0.032953,            0.008416,            0.008416,            0.008416
                  18,            0.085914,             0.17949,             0.69214,             0.44827,             0.24024,             0.24557,             0.12274,            0.086115,             0.21114,             0.03332,            0.008317,            0.008317,            0.008317
                  19,            0.085513,             0.17988,             0.68807,             0.48576,             0.24805,             0.25247,             0.12528,            0.085975,             0.21083,            0.033099,            0.008218,            0.008218,            0.008218
                  20,            0.085572,              0.1802,             0.68774,             0.53542,             0.24111,             0.25022,             0.12422,            0.085964,             0.21116,            0.033277,            0.008119,            0.008119,            0.008119
                  21,            0.085368,             0.17753,             0.66979,             0.47564,             0.24596,             0.25852,             0.12721,            0.086093,             0.21134,            0.033191,             0.00802,             0.00802,             0.00802
